"","X","links","title","price","area","subarea","name","attrib","condition","cryptocurrency","cylinders","drive","fuel","odometer","paint.color","size","title.status","transmission","type","VIN"
"1",1,"https://chicago.craigslist.org/chc/ctd/d/2007-toyota-camry-hybrid/6456245864.html","2007 Toyota Camry Hybrid HYBRID - cars & trucks - by dealer - vehicle automotive sale","$4990","chicago","city of chicago","2007 Toyota Camry Hybrid","[<span>VIN: <b>JTNBB46K673011575</b></span>, <span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>116236</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","gas",116236,"grey",NA,"clean","automatic","sedan","JTNBB46K673011575"
"2",2,"https://chicago.craigslist.org/chc/ctd/d/2009-toyota-camry-hybrid/6456018280.html","*2009* *Toyota* *Camry Hybrid* ** - cars & trucks - by dealer - vehicle automotive sale","$10625","chicago","city of chicago","2009 Toyota Camry Hybrid","[<span>VIN: <b>4T1BB46K29U074167</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>hybrid</b></span>, <span>odometer: <b>43702</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]",NA,NA,"4 cylinders","fwd","hybrid",43702,"grey",NA,"clean","automatic","sedan","4T1BB46K29U074167"
"3",3,"https://chicago.craigslist.org/chc/ctd/d/2010-toyota-camry-sedan-4dr/6455915502.html","2010 *Toyota Camry* sedan 4dr Sdn I4 Auto SE - Super White - cars & trucks - by dealer - vehicle automotive sale",NA,"chicago","city of chicago","2010 Toyota Camry","[<span>VIN: <b>4T1BF3EK2AU507667</b></span>, <span>condition: <b>excellent</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>140437</b></span>, <span>paint color: <b>white</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,NA,"fwd","gas",140437,"white","mid-size","clean",NA,"sedan","4T1BF3EK2AU507667"
"4",4,"https://chicago.craigslist.org/chc/ctd/d/2015-toyota-camry-le-4dr-sedan/6455889559.html","2015 Toyota Camry LE 4dr Sedan - cars & trucks - by dealer - vehicle automotive sale","$14850","chicago","city of chicago","2015 Toyota_ Camry_","[<span>VIN: <b>4T4BF1FK4FR507346</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>other</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>35721</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"other",NA,"gas",35721,NA,NA,"clean","automatic","sedan","4T4BF1FK4FR507346"
"5",5,"https://chicago.craigslist.org/chc/ctd/d/2016-toyota-camry-se-call-or/6456099657.html","2016 Toyota Camry SE CALL OR TEXT (708) 793-8472 - cars & trucks - by dealer - vehicle automotive sale","$15630","chicago","city of chicago","2016 TOYOTA CAMRY","[<span>VIN: <b>4T1BF1FKXGU192953</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>13152</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]",NA,NA,NA,"fwd","gas",13152,NA,NA,"clean","automatic","sedan","4T1BF1FKXGU192953"
"6",6,"https://chicago.craigslist.org/chc/cto/d/1993-toyota-camry-le-good/6455384768.html","1993 Toyota Camry LE *Good Condition* - cars & trucks - by owner - vehicle automotive sale","$850","chicago","city of chicago","1993 toyota camry","[<span>condition: <b>good</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>187000</b></span>, <span>paint color: <b>red</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"6 cylinders","fwd","gas",187000,"red","full-size","clean","automatic","sedan",NA
"7",7,"https://chicago.craigslist.org/chc/cto/d/1998-toyota-camry-for/6455419641.html","1998 Toyota camry for sale,please read! - cars & trucks - by owner - vehicle automotive sale","$1300","chicago","city of chicago","1998 toyota camry","[<span>condition: <b>fair</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","fair",NA,"4 cylinders","fwd","gas",NA,"grey",NA,"clean","automatic",NA,NA
"8",8,"https://chicago.craigslist.org/chc/cto/d/1998-toyota-camry-le/6455468639.html","1998 Toyota Camry Le ** - cars & trucks - by owner - vehicle automotive sale","$1600","chicago","city of chicago","1998 toyota camry le","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"9",9,"https://chicago.craigslist.org/chc/cto/d/1998-toyota-camry/6455989226.html","1998 Toyota Camry - cars & trucks - by owner - vehicle automotive sale","$1500","chicago","city of chicago","1998 Toyota Camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"10",10,"https://chicago.craigslist.org/chc/cto/d/1999-toyota-camry/6432090887.html","1999 toyota camry - cars & trucks - by owner - vehicle automotive sale","$1650","chicago","city of chicago","1999 toyota camry","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>202000</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","gas",202000,NA,NA,"clean","automatic","sedan",NA
